كود الصنف;اسم الصنف;المجموعة;السعر;النقاط 
DP-F204024;لوحة 36 خط 3 فاز مع رئيسي 200 امبير;لوحات AME;700.25;170
DP-F204025;لوحة 42 خط 3 فاز مع رئيسي 200 امبير;لوحات AME;700.25;170
DP-F204026;لوحة  48 خط  3 فاز مع رئيسي 200 امبير;لوحات AME;854;200
DP-F204027;لوحة 18 خط 3 فاز مع رئيسي 250 امبير;لوحات AME;529.5;140
DP-F204028;لوحة 24 خط 3 فاز مع رئيسي 250 امبير;لوحات AME;615;160
DP-F204029;لوحة 30 خط 3 فاز مع رئيسي 250 امبير;لوحات AME;683.25;170
DP-F204030;لوحة 36 خط 3 فاز مع رئيسي 250 امبير;لوحات AME;768.75;200
DP-F204031;لوحة 42 خط 3 فاز مع رئيسي 250 امبير;لوحات AME;1195.75;300
DP-F204032;لوحة 48 خط 3 فاز مع رئيسي 250 امبير;لوحات AME;1622.75;300
DP-F204033;لوحة 12 خط 3 فاز مع رئيسي63 امبير;لوحات AME;256.25;60
DP-F205001;لوحة  12 خط 3 فاز مع رئيسي 100 امبير RCBO;لوحات AME;281.9;70
DP-F205002;لوحة  18 خط 3 فاز مع رئيسي 100 امبير RCBO;لوحات AME;347.9;90
DP-F206001;لوحة  18 خط 3 فاز مع رئيسي 200 امبير - وتربروف;لوحات AME;504.75;140
DP-F206002;لوحة  18 خط 3 فاز مع رئيسي 250 امبير - وتربروف;لوحات AME;605.6;160
DP-F206004;لوحة  12 خط 3 فاز مع رئيسي 100 امبير - وتربروف;لوحات AME;333.9;90
DP-F206005;لوحة  18 خط 3 فاز مع رئيسي 100 امبير - وتربروف;لوحات AME;393.75;100
DP-F206006;لوحة 24 خط 3 فاز مع رئيسي 100 امبير - وتربروف;لوحات AME;436.25;100
DP-F3011001;قاطع فرعي 32 امبير 1 فاز اوروبي  KSA;لوحات EURP;9.5;2
DP-F3012001;قاطع فرعي 10 امبير 1 فاز اوروبي;لوحات EURP;9.75;2
DP-F3012002;قاطع فرعي 16 امبير 1 فاز اوروبي;لوحات EURP;9.5;2
DP-F3012003;قاطع فرعي 20 امبير 1 فاز اوروبي;لوحات EURP;9.5;2
DP-F3012004;قاطع فرعي 25 امبير 1 فاز اوروبي;لوحات EURP;9.5;2
DP-F3012005;قاطع فرعي 32 امبير 1 فاز اوروبي;لوحات EURP;9.5;2
DP-F3012006;قاطع فرعي 40 امبير 1 فاز اوروبي;لوحات EURP;15.5;4
DP-F3012007;قاطع فرعي 50امبير 1 فاز اوروبي;لوحات EURP;15.5;4
DP-F3012008;قاطع فرعي 63 امبير 1 فاز اوروبي;لوحات EURP;15.5;4
DP-F3012009;قاطع فرعي 20 امبير 2 فاز اوروبي;لوحات EURP;24.75;6
DP-F3012010;قاطع فرعي 25 امبير 2 فاز اوروبي;لوحات EURP;24.75;6
DP-F3012011;قاطع فرعي 32 امبير 2 فاز اوروبي;لوحات EURP;24.75;6
DP-F3012012;قاطع فرعي 40 امبير 2 فاز اوروبي;لوحات EURP;24.75;6
DP-F3012013;قاطع فرعي 50 امبير 2 فاز اوروبي;لوحات EURP;54.3;10
DP-F3012014;قاطع فرعي 63 امبير 2 فاز اوروبي;لوحات EURP;54.3;10
DP-F3012015;قاطع فرعي 32 امبير 3 فاز اوروبي;لوحات EURP;67.5;15
DP-F3012016;قاطع فرعي 40 امبير 3 فاز اوروبي;لوحات EURP;67.5;15
DP-F3012017;قاطع فرعي 50 امبير 3 فاز اوروبي;لوحات EURP;67.5;15
DP-F3012018;قاطع فرعي 63 امبير 3 فاز اوروبي;لوحات EURP;67.5;15
DP-F3013001;قاطع فرعي 16امبير1 فاز اوروبي - RCBO;لوحات EURP;62;15
DP-F3013002;قاطع فرعي 20امبير1 فاز اوروبي - RCBO;لوحات EURP;77.65;20
DP-F3013003;قاطع فرعي 32 امبير 1 فاز اوروبي  RCBO  - KSA;لوحات EURP;77.65;20
DP-F303001;لوحة  6 خط بدون رئيسي اوروبي;لوحات EURP;119.5;30
DP-F303002;لوحة  8 خط بدون رئيسي اوروبي;لوحات EURP;128;30
DP-F303003;لوحة  10خط بدون رئيسي اوروبي;لوحات EURP;145.25;30
DP-F304001;لوحة  4 خط 1فاز مع رئيسي 100 امبير اوروبي  MCCB;لوحات EURP;123.75;30
DP-F304002;لوحة  6 خط 1فاز مع رئيسي 100 امبير اوروبي  MCCB;لوحات EURP;149.5;40
DP-F304003;لوحة  8 خط 2فاز مع رئيسي 100 امبير اوروبي  MCCB;لوحات EURP;162.25;40
DP-F304004;لوحة  10 خط 1فاز مع رئيسي 100 امبير اوروبي  MCCB;لوحات EURP;188;50
DP-F304005;لوحة  12 خط 1فاز مع رئيسي 100 امبير اوروبي  MCCB;لوحات EURP;213.5;50
